review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R1M5XRE8PLEVIL,B0D4SX9RC6,5.0 out of 5 stars Beats Pill,DCF,5,"I so glad I finally got one, I’ve been wanting one forever. Let me tell you this It doesn’t disappoint, it’s laid and clear. Well worth the money for the battery life and performance you get for it.","Reviewed in the United States September 5, 2024",AHU4A2NTGBQFW24HDYQ5L4K6GUTQ,True,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
RVUJXN8097BXF,B0D4SX9RC6,"4.0 out of 5 stars Don’t drop it, will dent the speaker grill",Cavel,4,"It sounds amazing but don’t drop it from even low heights, it will dent the speaker grill though this does not affect the functionality or sound.","Reviewed in the United States August 28, 2024",AFHQTY3WLN7ZW5KVND63M2KAVRWA,True,0,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R3UIYXCSIGN1Y5,B0D4SX9RC6,5.0 out of 5 stars Sonido,D,5,"Excelente compra, gran sonido y duración de la batería","Reviewed in the United States September 6, 2024",AED47S4I7LOCZJQZ57ZAMOBJRHCA,True,0,Color: Statement RedStyle: PillPattern: Without AppleCare+
RI0GQH5ESJ58G,B0D4SX9RC6,4.0 out of 5 stars Impressive,Amazon Customer,4,Nice set of speakers! I purchased two for stereo and to pair to my Apple TV. They work great and the battery seems to last a long time.,"Reviewed in the United States August 16, 2024",AH4IBXDEJLSCMKQZ23IHL4GYP2GA,True,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R15DPG5XIBZL20,B0D4SX9RC6,5.0 out of 5 stars The sound is amazing,Dizzo,5,This speaker is for small group workouts. Love it. Nice and loud,"Reviewed in the United States August 31, 2024",AGT2QQ4ORTDEQ4I2LOQNJ23PPIJQ,True,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
RQVQMDDD6WY10,B0D4SX9RC6,5.0 out of 5 stars Great investment,Eric Littles,5,The Beats Pills Speaker has an amazing music flow and is easy to move around,"Reviewed in the United States August 28, 2024",AGPKXBSCGU5MLNA2KW6E4HTB32JA,True,0,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R80GG11MYLION,B0D4SX9RC6,5.0 out of 5 stars Awesome sound!,Amazon Customer,5,This pill sounds fantastic & it’s quite loud for its size. Looks great too! Love the vibrant red color & the bass is BOOMIN!,"Reviewed in the United States August 19, 2024",AHQQPE42WN5Z3JTTSKU52GXD5DOQ,True,0,Color: Statement RedStyle: PillPattern: Without AppleCare+
R11FZOLRBHV6ZW,B0D4SX9RC6,5.0 out of 5 stars BETTER THAN ALL THE NEW GARBAGE QUALITY NEW BEATS SOLO 4 AND STUDIO PRO SERIES,Ack Ack Ack,5,Only thing worth buying,"Reviewed in the United States August 31, 2024",AEEITQ533KTNZA6KVTWMB6YZ4NRQ,True,0,Color: Statement RedStyle: PillPattern: Without AppleCare+
R1QSAGA565X86P,B0D4SX9RC6,5.0 out of 5 stars Simply amazing,Britney Davis,5,"This little speaker is LOUD, amazing sound quality! Highly recommend","Reviewed in the United States August 23, 2024",AGEIVOTZWWY6CTFVHEZGLE7ZODXA,True,0,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R1CBPM852HPHVW,B0D4SX9RC6,5.0 out of 5 stars Beats by Dre pill,Jose Cabrera,5,"The media could not be loaded. Hey guys, so I just received mine right now and I just barely ordered it not a few hours ago. I gotta say excellent delivery package came in well condition and brand new. What can I say? I thought the speaker was going to be a little bit smaller but it’s actually the right perfect size !$! Precisely myself A big fan of Dr. Dre beats I gotta say Excellent job in bringing back the beats pill ! 💯💪🏆 Can’t wait to test this bad boy Specially, for work So go get yourself one if you haven’t so….i am Definitely gonna buy myself another one next payday.","Reviewed in the United States August 15, 2024",AFQWPDA6CRIRC3G4BDA6ZHZRBYFQ,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
REZL9ZZRLRANY,B0D4SX9RC6,5.0 out of 5 stars Great Sound,Mark G,5,Perfect sounds and a single charge last a long time. My favorite portable speaker purchase to date.,"Reviewed in the United States August 17, 2024",AGODFH7VRE4BAOYHZMFTJ3FHIB3A,True,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R172ODWJHF6PC5,B0D4SX9RC6,5.0 out of 5 stars Premium portable speaker,John S.,5,"My original Wonderboom finally gave up so I bought the Beats Pill. I was blown away by the balanced sound for all genre of music. Bass is well balanced with Treble and does not try to be more than what a small speaker can do. Very impressed, and highly recommend this speaker.","Reviewed in the United States July 28, 2024",AFJKZEYD2VZSI2NO3JZNMA4XX4RA,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
RE0M07EWNPKA2,B0D4SX9RC6,5.0 out of 5 stars 5,ruben,5,Buenardo,"Reviewed in the United States August 26, 2024",AFQJ4NIJGXRYA7HNO3E2YZ67DKRQ,True,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R3SO3HMV0YC0WB,B0D4SX9RC6,5.0 out of 5 stars Beats pill,Bryan Pennington,5,"Great product, also very sturdy it survived a drop with only a little cosmetic damage. Otherwise it works great and is loud with alot of bass","Reviewed in the United States August 6, 2024",AH6XBZHLROVWE5R25OTBLS2F4CEQ,True,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
RTNH253L7VMLS,B0D4SX9RC6,5.0 out of 5 stars Wow,Charles Palmer,5,This thing hits you will not be disappointed,"Reviewed in the United States August 15, 2024",AHXVCAZ7J7XFQAT5GBOT2KXUDE2A,True,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R102ZHXOOGDR18,B0D4SX9RC6,5.0 out of 5 stars Amazing sound for the size,Maxy D,5,"This 2 pound speaker sounds insane for its size. It’s almost as loud as my jbl Xtreme 2. At lower volumes the music is balanced and you can hear details in the notes that definitely sound high-fi and high end. Well worth 150, better yet buy two for 300.","Reviewed in the United States July 19, 2024",AHNNPIFNRYHXRAOIN2G7WIJQDWEA,True,5,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R1B7HEBA1M0NLY,B0D4SX9RC6,5.0 out of 5 stars Works great,Jcapp4,5,"Great sound, great battery life.","Reviewed in the United States August 14, 2024",AF5GIGOSF6FJAOCG5HCZVTEUEWSA,True,2,Color: Statement RedStyle: PillPattern: Without AppleCare+
R2GXSMDM76M1NO,B0D4SX9RC6,5.0 out of 5 stars Amazing sound quality and worth the money,Arjun Mohan Kumar,5,I have been using the beats pill 2024 for the last couple of days and it has been a really good sounding speaker. It outclasses other speakers in the price range and even few of the larger party speakers. The volume of this speaker is mind blowing though it might be bit harsh in a closed room. Bass is absolutely great and overall the speaker is very balanced. It is worth every penny.,"Reviewed in the United States June 30, 2024",AFDIEYKPJMB43TMN4ALTGPWB5GUQ,True,2,Color: Matte BlackStyle: PillPattern: Without AppleCare+
RCI44S9GIONYQ,B0D4SX9RC6,5.0 out of 5 stars Need a pill?,MzHenderson,5,Best one yet! This thing puts out good music!,"Reviewed in the United States August 8, 2024",AE7HWBSLCFFQIFBNBUBY77EKYC3Q,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R3M5VB492MOE7C,B0D4SX9RC6,5.0 out of 5 stars New Beats Pill is awesome!,Albert Gatto,5,"This speaker has incredible sound and bass for its size. In fact it sounds much better than my Sonos Roam 2 and JBL Flip 6, which the latter I’ve always considered a good sounding speaker. The microphone is a great addition for calls. You won’t be disappointed with this speaker. Thinking about buying another to pair in stereo. I wish they had an app for this Beats speaker with EQ. The Pill+ app doesn’t seem tonairj with the new Pill.Update: purchased another to pair in stereo. Incredible sound!","Reviewed in the United States June 29, 2024",AHFQM5SAW3MYYQ4D6L7RUL6RMFNQ,True,12,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R1RPKEE8ZD6IDK,B0D4SX9RC6,5.0 out of 5 stars Grandson loves it!,Joanne D.,5,This was a gift for our grandson for his 17th birthday. He loves it. It has great sound and he's really enjoying it.,"Reviewed in the United States July 20, 2024",AE77CKDWPYO3S5UJK3VG4XAQPDYA,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R2X53YPA5DOWWJ,B0D4SX9RC6,5.0 out of 5 stars If You Like It Loud,Mike,5,Excellent sound and clarity even at the highest volume.,"Reviewed in the United States July 29, 2024",AGTTGJDZD6Q2TBOJH62NYI2UKPFQ,True,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R3EIAFTJO1Q4PC,B0D4SX9RC6,3.0 out of 5 stars Overpriced.,ERIK H,3,Wait for a sale because while it sounds good at half volume anything above that starts to immediately diminish the sound quality. The battery also doesn’t long at louder volume. Nothing at this price range is perfect but I think for MSRP it’s too expensive. All the big reviewers are praising this but the smaller reviewers all brought these issues up so look at those reviews when deciding if this is right for you.,"Reviewed in the United States September 1, 2024",AEIHKCJB7ZYF6NDKKZTCL2IZS6GQ,True,0,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
RAF2BOV5S6LAQ,B0D4SX9RC6,5.0 out of 5 stars Super,Diego Andrade,5,Great sound,"Reviewed in the United States August 3, 2024",AEYNZHHGLKDIE5GGU3DZ55POPAYQ,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
RHW0NI1KI798M,B0D4SX9RC6,5.0 out of 5 stars Awesome speaker,Manuel N.,5,I love how well it integrates with iPhone and sounds great. Pretty cool how it can charge your phone and vice versa. The controls feel premium and very worth the price.,"Reviewed in the United States July 13, 2024",AGEYIJMLWGX23PPOPNT2IVHWA4FA,True,2,Color: Statement RedStyle: PillPattern: Without AppleCare+
R3K1D2NKBRSOJ6,B0D4SX9RC6,5.0 out of 5 stars Perfect Sound,"Amazing sound quality and very easy to connect. The style is sleek and stylish, great to use at cookouts, at the pool or just at home, especially if you live in an apartment and cannot use a standard stationary sound system. Love this item and will purchase as a gift as well!",5,Very easy to connect and great sound quality. Perfect for gifts and around the house.,"Reviewed in the United States July 18, 2024",AEARWKR2DZROAW547KAWSHLSANSA,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
RQB2MZ06ANO68,B0D4SX9RC6,5.0 out of 5 stars Everything I was expecting and more,Ken Kessler,5,The sound is great for the size and the battery life is great!,"Reviewed in the United States July 19, 2024",AHPKA35QDJFSHJ2BUVCM4JCBN7XQ,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R18C9SGI40K03G,B0D4SX9RC6,5.0 out of 5 stars Best small portable speaker,djrau,5,"It sounds better than a jbl flip6, it has excellent sound quality. It's just perfect","Reviewed in the United States July 14, 2024",AHFG7EXOHMFXWXHIFYSVJKIIW6ZA,True,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R1O7H1E5ZAWKPN,B0D4SX9RC6,5.0 out of 5 stars Beats pill,Joseph Cisneros,5,Awesome,"Reviewed in the United States July 27, 2024",AESLISXTBY5HPUZRHSDLIH3QJCGA,True,0,Color: Statement RedStyle: PillPattern: Without AppleCare+
R1FPGFHZ07V4CD,B0D4SX9RC6,5.0 out of 5 stars Best sound as expected,Patriceyouknowme!,5,Compact sound is awesome,"Reviewed in the United States July 19, 2024",AGZX2UIP7E334JFL6QAJISV367PA,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R3C1OVXH7NLME2,B0D4SX9RC6,5.0 out of 5 stars Nice speaker,Adrian Kelly,5,Good overall sound quality. Returned the soundcore motion 300 for this one,"Reviewed in the United States July 7, 2024",AGGRS4MYTE4BAKJOCG7CLUKEPWKQ,True,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R35DQABEPYTVK6,B0D4SX9RC6,5.0 out of 5 stars Me gusta mucho,Tirso Ramón Viscaya Cabrera,5,Excelente,"Reviewed in the United States July 14, 2024",AES4OHKWNYE5S6MGH7JKMYIPCB5A,True,0,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
RBHF1HBE7ZJGU,B0D4SX9RC6,"5.0 out of 5 stars Impressive, mechanical masterpiece",WLEE1212,5,"I think this was a well done refresh, great quality, decent bass and simple interface.","Reviewed in the United States July 4, 2024",AHAAFOMGR64XJWBPOGGWTDLRZNJQ,True,2,Color: Statement RedStyle: PillPattern: Without AppleCare+
R2KLZXER7B0LQF,B0D4SX9RC6,5.0 out of 5 stars Exactly what I wanted!,Michael Hahn,5,Sounds fantastic with no connection issues. Very happy with purchase.,"Reviewed in the United States July 3, 2024",AGVNRSJDJFKIEYWRYDVO2F5DXKOA,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R2IL021SJK8WQR,B0D4SX9RC6,5.0 out of 5 stars worth it the purchase,Carlos Cevallos,5,worth it the purchase a 100% porcent,"Reviewed in the United States July 1, 2024",AEZES7JNGIDJU2GVKHLL5DUFHKNA,True,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R3J6TCVCK04ACX,B0D4SX9RC6,5.0 out of 5 stars Love it,Amy Stepp,5,Sounds amazing,"Reviewed in the United States June 30, 2024",AEQCGVODZLISVPQPLBGOO7IXHO4A,True,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
RKR6718ZKA8LK,B0D4SX9RC6,2.0 out of 5 stars 50% good,hassan,2,It’s not bad at lower a volume it’s not good at max but it’s loud with no bass and the call I had to shout lol it needs a up date,"Reviewed in the United States July 26, 2024",AFP33RBICBWL2P4LG3UVF3DGV2WQ,True,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R34781CIXMX0T5,B0D4SX9RC6,1.0 out of 5 stars Why?,David Decker,1,"Long time apple customer. Their product philosophy still a complete mystery to me. Bought several home pods, never could get them to work as expected. Hardware-wise they are amazing and sound great. Good luck getting them to play what you want. Despite the sunk cost of home pods, decided to give Beats a try. Same problems. Can't control it from Apple music. When I turn it on, it starts playing music from somewhere else and I have no idea what it is doing. Not a techno luddite. Have experience as programmer. If it is a mystery to me, probably a mystery to everyone else too. Shame on Apple...","Reviewed in the United States August 29, 2024",AEVNP3FWL2TZHTGIL4IF2VL77DVA,True,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R3Q3M1BASZJ2BM,B0D4SX9RC6,2.0 out of 5 stars Good functionality but,S,2,Too much bass and voice distorts on full Volume.I find Earfun Uboom L is better.,"Reviewed in the United States July 1, 2024",AH5NXTZPQY4BTCVH2OIVYWTVHCZQ,True,4,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
RWECEKYZ3ZXL1,B0D4SX9RC6,1.0 out of 5 stars Worst,Golly G-,1,"If you try to use Siri, you have to be right next to the speaker, it deflex Siri from the phone. So if you’re cooking and your phone is next to you and you say Siri, what time Is it and the speaker is on the other side of the room it won’t work because she won’t be able to hear you, because her ears are the speaker","Reviewed in the United States July 30, 2024",AHKOSLF4E3FBSO4WRELEY4USYH6A,True,3,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R2Y9UWGSTDU7QB,B0D4SX9RC6,1.0 out of 5 stars Opened,Alexander,1,Open and no charging cable couldn’t even get just the cable sent,"Reviewed in the United States August 26, 2024",AEROJGYZT4BXHS5Z34PEBM4O36JA,True,0,Color: Statement RedStyle: PillPattern: Without AppleCare+
R2OYAX691GNN4K,B0D4SX9RC6,5.0 out of 5 stars One of the Best Compact Portable Speakers,Student Nurse,5,"I picked this up at the Apple Store the other day when trading in my old MacBook for the college promo (Gift card of $150 with purchase). With my gift card, I decided to inquire about the new Beats Pill that they have in store. One of the reasons I went for this item is because it was essentially free for me ($150 speaker + $150 Gift Card = Gift to me). Below is my review:Sound Quality: In the formative years of the Beats Pill, it has been a very popular speaker to consumers who are shopping for a unit that is under the $300 price tag. Just like the Beats headphones, this speaker is very well known to the general public & even further to the audiophiles (Like Myself). My first thoughts of the sound quality were “How is this going to sound?”, “Will this live up to its price?” & “How good is the build quality?”. Needless to say, when I got it up & running, WOW WAS I IMPRESSED!!!!!!This generation of Beats Pill blows every one off its predecessors in the water. The woofer alone is unbelievably powerful with the incorporation of newer & more durable materials. It reproduces great lows along with outstanding mids & highs. As for the tweeter, I believe this was also upgraded. The clarity from the tweeter is exceptional & performs well even at higher volumes.Build: The new build quality is MUCH more advanced than previous models. To start, the speaker is now on a(n) angle to promote better sound distribution throughout your space. The materials used to bring this speaker together feel very durable & solid. In addition to the new build, the speaker offers a plethora of other great features including a(n) IP67 rating, better battery life & a whole new look.Other Comment(s): The only comment I have about this speaker (Which I am sure is correctable by a software update in the near future) is with the on/off function(s). This was a little tricky for me at first, but I eventually figured it out. In order to turn the speaker on/off, you have to hold the power button for 1-3 seconds (I usually do it for 2 seconds & it works). This may be a turn off for some consumers as a lot of people today don’t want to go through the trouble of having to learn how to turn it on/off the right way.Overall: I would say that all in all, this is a great speaker for under $200 if you are in the market for great sound quality, portability & power. I bought the “Statement Red” as the ostentatious or loud red color got my attention & I loved it (I personally like speakers with crazy colors / designs). If you are in the market for one, either buy it here or check it out in person. Needless to say, you won’t be disappointed with this speaker.","Reviewed in the United States September 4, 2024",AFTRAIYZ5AITM2MEV2H2DNAHW73Q,False,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R2RH6ETU2EFCPR,B0D4SX9RC6,1.0 out of 5 stars Buggy software,Oomung Varma,1,Randomly turns on and off after 30 to 40 minutes of use,"Reviewed in the United States June 29, 2024",AHLZNRGDMJJH73X4RBVXXGA7WKQQ,True,4,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R3A0CT3JVYDFX3,B0D4SX9RC6,4.0 out of 5 stars Bass Heavy,Geomancer,4,"As you can probably tell from the product description heavily focusing on the subwoofer, you won't be surprised to learn that this speaker is very bass heavy. That's fine for songs that complement that kind of sound, but is a determent to anything else. For example listening to an audio book it doesn't sound very good and I actually prefer my phone's built in speaker or a regular set of headphones. There is no EQ feature, even if you download the Beats app. Speaking of the Beats app, it doesn't really have any use. It will tell you battery life, and remind you what the controls are, but that's it. The ""one touch connect"" feature did not work, I had to manually connect in my Bluetooth settings (Android, Samsung Galaxy S20 FE).For controls there are four buttons. A power button, multi-function button (play/pause/next/previous), volume down, and volume up. They are the same color as the speaker, do not light up, and are difficult to see. I initially had some trouble turning it off because you have to hold the power button. However if you don't hold it long enough it just gives you a battery life indicator, hold it too long it goes into pairing mode. You have a 2-3 second window between those two functions to actually get it to turn off.Volume wise, it does get pretty loud. Loud enough to hurt if you're nearby. Bass of course travels well and far, be aware that you will annoy your neighbors if your outside with the volume up. Perhaps even at a mid volume because it is so bass heavy. Not great for apartments because of that, at least if you don't want to be that annoying neighbor.If you have two of these, you can sync them together either to just make them even louder (why would anyone want that? It already hurts at max volume), or as a stereo pair.For the price, I would have preferred a speaker with a more balanced audio profile. For tracks that do emphasize bass though it does sound pretty good. Overall I would classify my annoyances other than the sound profile as minor.","Reviewed in the United States June 28, 2024",AHS6VNLQVHWZLOI3RZ6ZXUWPK4OA,False,12,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R31FPPEOE54HHH,B0D4SX9RC6,4.0 out of 5 stars Not bad for the price,M.J. Shearer,4,"I own a plethora of bluetooth speakers, one even costing 10x this one. But, for a small portable form factor, this pill doesn't sound half bad. It is definitely not my favorite in the sound quality department, but the portability factor makes it a keeper. Right now, I'm testing it on my kitchen window sill and it provides me with adequate sound whilst I rustle up grub for the fam. Highs are clear, mids are punchy, bass is present but it won't knock your socks off. If you're looking for a balance between portability and sound quality, then this might be your ticket at 150$. BUT, if you want better sound quality, save up another 100 bux and you can find a larger (even much larger) speakers that will SA-MOKE this one, but, you WILL sacrifice portability. One issue I found with this speaker is that the rubberized texture on the back is a dust and animal hair magnet. (Two cats and two GSD's...you GSD owners out there know the struggle) It will not wipe clean with your hand, but a very damp paper towel works like a charm.","Reviewed in the United States July 10, 2024",AFIPEJWLO34BKCROKOXTQOTHWOIQ,False,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
